Name,Item Bonus,Type,Recipe
B.F. Sword,+10% Attack Damage,Basic Item,
Chain Vest,+20 Armor,Basic Item,
Giant's Belt,+150 Health,Basic Item,
Needlessly Large Rod,+10 Ability Power,Basic Item,
Negatron Cloak,+20 Magic Resist,Basic Item,
Recurve Bow,+10% Attack Speed,Basic Item,
Sparring Gloves,+20% Crit Chance,Basic Item,
Spatula,It must do something...,Basic Item,
Tear of the Goddess,+15 Mana,Basic Item,
Adaptive Helm,Combat Start: The holder gains bonuses based on their starting position. Front Two Rows: 15 Ability Power and 40 Armor and Magic Resist. Gain 1 Mana when struck by an attack.Back Two Rows: 20 Ability Power and gain 10 Mana every 3 seconds.,Combined Item,Tear of the Goddess + Negatron Cloak
Archangel's Staff,Grant 20 bonus Ability Power. Combat start: Grant 30 Ability Power every 5 seconds.,Combined Item,Tear of the Goddess + Needlessly Large Rod
Bloodthirster,"Damage heals the holder for 20% of the damage dealt. Once per combat at 40% Health, gain a 25% maximum Health shield that lasts up to 5 seconds.",Combined Item,B.F. Sword + Negatron Cloak
Blue Buff,"Max mana reduced by 10.When the holder gets a takedown, they deal 8% more damage for 8 seconds.",Combined Item,Tear of the Goddess + Tear of the Goddess
Bramble Vest,"Grants 30 Armor. Negates 50% bonus damage from incoming critical strikes. On being hit by an attack, deal 75/100/150★ magic damage to all nearby enemies (once every 2.5 seconds). (Direct damage item)",Combined Item,Chain Vest + Chain Vest
Crownguard,"Combat start: Shields the holder for 30% of their max health for 8 seconds. When the shield breaks or expires, gain 40 Ability Power.",Combined Item,Needlessly Large Rod + Chain Vest
Deathblade,Grant 66% bonus Attack Damage.,Combined Item,B.F. Sword + B.F. Sword
Dragon's Claw,"Grant 65 bonus Magic Resist. Every 2 seconds, regenerate 9% maximum Health.",Combined Item,Negatron Cloak + Negatron Cloak
Dryad Emblem,The holder gains the Dryad trait.,Combined Item,Spatula + Giant's Belt
